,open,high,low,close,volume,sma_7,sma_30,ema_7,ema_20,rsi_14,macd,macd_signal,macd_histogram,bb_high,bb_low,bb_mid,bb_width,atr,price_momentum_1d,price_momentum_7d,log_return,volatility_14d,dist_from_sma30,volume_sma_7,volume_change_1d,mfi_14,n-transactions,hash-rate,difficulty,mempool-size,utxo-count,close_next_1d,close_pct_change_1d,close_direction_1d,close_next_7d,close_pct_change_7d,close_direction_7d
2025-02-15,97488.48148536457,97488.48148536457,97488.48148536457,97488.48148536457,32289906944.92862,96876.15847273843,100585.99142234241,97176.63279411498,98404.45774050138,46.78017689582107,-969.567368179909,-688.1232006912239,-281.444167488685,104733.20253656915,93511.2967804313,99122.24965850022,0.11321278315211769,1432.5356128736837,0.009598192987589016,0.009631732022674866,0.009552422973167336,0.01982539450086877,-0.030794645389256664,32602488552.1211,0.11021503383608588,43.59511415983871,306930.0,908045729.6306497,114167270716408.0,1665617.75,178960889.4,97569.95169430465,-0.0008349928182329602,0,96135.15541305285,0.014077327555117813,1
2025-02-16,97569.95169430465,97569.95169430465,97569.95169430465,97569.95169430465,14215311318.346336,97020.6890540661,100503.50383656046,97274.96251916239,98324.98097419694,47.01198451445009,-907.6370334270905,-732.0259672383972,-175.61106618869326,104291.94523008743,93454.32438206325,98873.13480607534,0.10961138098109792,1336.0309411641408,0.0008356906138937692,0.010477760304851369,0.0008353416189137124,0.019471238187000365,-0.029188555923645935,31667411505.4783,-0.5597599168498391,46.40707397894886,300091.0,856968157.3389257,114167270716408.0,1375973.6,178570135.25,96149.3484548204,0.014774964805422286,1,96564.15414290235,0.010415847995870697,1
2025-02-17,96149.3484548204,96149.3484548204,96149.3484548204,96149.3484548204,13634794998.739267,96963.6561684982,100236.45899889305,96993.5590030769,98117.77787711346,43.45749209344408,-962.0971488539508,-778.0402035615081,-184.05694529244272,103931.1357135708,93234.22179031635,98582.67875194357,0.10850703245922447,1342.0718196155772,-0.014559843628242475,-0.004135018915265576,-0.014666878361246591,0.018008974938166226,-0.0407746900169108,29978509708.005054,-0.04083739755019311,49.96823143191119,333466.0,777514155.996244,114167270716408.0,18416041.0,178307723.5,95776.15723852723,0.0038964939401751053,1,96327.46309127835,-0.0018490535382330586,0
2025-02-18,95776.15723852723,95776.15723852723,95776.15723852723,95776.15723852723,25324374113.08163,96731.68125774036,99951.17704826916,96689.20856193948,97894.76638772429,42.547400022638364,-1023.5714998601616,-827.1464628212389,-196.4250370389227,103633.46383973426,92978.19812350732,98305.83098162079,0.10838894915825542,1272.8660622354053,-0.0038813702046928134,-0.016671711312460258,-0.003888922269933549,0.013794281554393458,-0.041770591733258956,28302707810.7913,0.8573344238342588,34.825575490362624,422709.0,794540013.4268184,114167270716408.0,13526330.625,178050045.25,95495.89153299287,0.00293484568849256,1,91396.76686930266,0.04791625042368386,1
2025-02-19,95495.89153299287,95495.89153299287,95495.89153299287,95495.89153299287,38311133144.729355,96696.81185234044,99758.52886109753,96390.87930470283,97666.3021158451,41.838764769348074,-1082.4279109206545,-878.2027524411221,-204.2251584795324,102734.7382528073,93054.61492391991,97894.67658836361,0.098883041103361,1201.9660367567592,-0.0029262575740679475,-0.002549466215708396,-0.002930547436635366,0.01089008110484384,-0.04272955281888624,28567930095.1009,0.5128165842779604,37.52618706762365,448569.0,715086012.0841366,114167270716408.0,23694664.375,178189604.33333334,96554.87156259285,-0.010967649922391298,0,88755.7693356979,0.07594010223495484,1
2025-02-20,96554.87156259285,96554.87156259285,96554.87156259285,96554.87156259285,27703222487.389572,96513.76656681443,99584.86095979378,96431.87736917533,97560.45158696394,45.530301495412786,-1031.7280834823468,-908.9078186493672,-122.82026483297966,101174.24295649573,93792.44602548977,97483.34449099275,0.07572367330593606,1191.7527505312744,0.011089273188617854,-0.013096554736282462,0.011028238008022993,0.010622735340288224,-0.030426205027531777,25794730702.557903,-0.2768884600010627,45.457443630221135,480465.0,737787155.324903,114167270716408.0,34220020.875,178456434.5,98384.31738240314,-0.018594892646350836,0,83900.11496524839,0.15083121879613737,1
2025-02-21,98384.31738240314,98384.31738240314,98384.31738240314,98384.31738240314,24175261969.81266,96774.14562157224,99324.9303118678,96919.98737248228,97638.91499605338,51.28298768187602,-834.3097135844873,-893.9881976363913,59.67848405190398,100254.14736070584,94312.7339497978,97283.44065525182,0.06107322449627302,1237.3022554797758,0.018947214057701167,0.018875538260418212,0.01876995118902046,0.011753870670196103,-0.009470058790992962,25093429282.43249,-0.1273483804702803,42.93489873571555,459909.0,732111869.5147113,114167270716408.0,49264220.875,178776415.5,96135.15541305285,0.023395832249779813,1,84709.14477847965,0.16143679221039275,1
2025-02-22,96135.15541305285,96135.15541305285,96135.15541305285,96135.15541305285,42477472950.92155,96580.8133255277,99073.65098912365,96723.77938262493,97495.6997976724,44.991770745279915,-849.5497265917656,-885.1005034274663,35.55077683570062,99622.09359940155,94490.82448986241,97056.45904463198,0.05286890908702419,1309.5779493276693,-0.02286098058299446,-0.013881907397592208,-0.0231263449257834,0.013450159387681062,-0.029659708174006684,26548795854.717197,0.7570636051002311,44.46562984420995,551849.0,788864727.616627,114167270716408.0,62845886.0,179149951.0,96564.15414290235,-0.004442629189446823,0,84441.9012237131,0.1384769175004794,1
2025-02-23,96564.15414290235,96564.15414290235,96564.15414290235,96564.15414290235,18464415570.762142,96437.12796104167,98823.53579681808,96683.87307269429,97406.98116388478,46.34384592651038,-817.5863084574376,-871.5976644334606,54.01135597602308,99569.15366508196,94443.34818544735,97006.25092526466,0.0528399503201461,1246.679433650657,0.004462454218815859,-0.01030847647187072,0.004452526992227976,0.013510656045845728,-0.022862789068395936,27155810747.919453,-0.565312757844707,49.19017218384026,572814.0,728533880.978175,113609310651996.22,76182055.125,179570212.33333334,96327.46309127835,0.002457150266686803,1,86005.25629681018,0.12277037823889114,1
2025-02-24,96327.46309127835,96327.46309127835,96327.46309127835,96327.46309127835,16643044374.983364,96462.57290910708,98539.94481534204,96594.7705773403,97304.16991887464,45.67676423264868,-802.1078589551616,-857.6997033378009,55.59184438263924,98303.9768730304,95194.58522005634,96749.28104654337,0.03213865384155388,1174.5374063630388,-0.002451127478150239,0.0018524788708438322,-0.002454136408961605,0.01352669523165415,-0.022452638148009414,27585560658.811466,-0.09864223369532832,50.26896993189181,514086.0,714530229.8374169,110568428300952.64,78759945.625,180032507.25,91396.76686930266,0.05394825649605939,1,94261.53286538439,0.021917002228728055,1
2025-02-25,91396.76686930266,91396.76686930266,91396.76686930266,91396.76686930266,45539703844.38777,95836.94571350359,98093.3023517394,95295.2696503309,96741.5601046297,34.52717072348973,-1174.1719306542218,-920.9941488010851,-253.1777818531367,99118.79035975687,93707.60449859571,96413.19742917629,0.05612494975219685,1442.8344646210846,-0.051186816965203774,-0.0457252670757905,-0.05254335640561144,0.019162573710321294,-0.06826700011000288,30473464906.14092,1.7362604351905593,40.43389136565052,497063.0,807968798.3546175,110568428300952.58,76391526.0,180296686.75,88755.7693356979,0.029755784366149785,1,86124.71418722175,0.061214167522464,1
2025-02-26,88755.7693356979,88755.7693356979,88755.7693356979,88755.7693356979,96742453402.56294,94874.07111389002,97633.41970483592,93660.39457167266,95981.00860282667,30.265705593870337,-1662.9721099578019,-1069.3897410324284,-593.5823689253734,100314.75170104572,91728.93140795757,96021.84155450165,0.08941528462787159,1528.4175409770617,-0.02889596234165903,-0.07058023218691378,-0.029321671571153105,0.020032958259121828,-0.09092839722276262,38820796371.545715,1.1243540303454411,35.81568519767683,403575.0,862932662.1882651,110568428300952.53,76770810.625,180402582.4,83900.11496524839,0.05787422785368923,1,87310.80531078295,0.016549658656469957,1
2025-02-27,83900.11496524839,83900.11496524839,83900.11496524839,83900.11496524839,69277430795.68657,93066.2487428408,97031.474552429,91220.32467006659,94830.44730400968,24.32195166436823,-2414.329612069603,-1338.3777152398634,-1075.9518968297398,102176.18478756447,88593.96794263148,95385.07636509798,0.14239352069023256,1766.0773145108083,-0.05470804215649505,-0.13106284947146207,-0.05626144910470158,0.022594331094214756,-0.13533092893569654,44759968987.016716,-0.2838983470120343,24.81585017328331,325162.0,824457957.5047117,110568428300952.56,69128827.125,180206330.0,84709.14477847965,-0.009550678564243964,0,90604.08098523637,-0.07399187704448296,0
2025-02-28,84709.14477847965,84709.14477847965,84709.14477847965,84709.14477847965,305190442156.92804,91112.65265656602,96478.00895687891,89592.52969716986,93866.51373014967,26.89792387171856,-2910.9483011350967,-1652.8918324189099,-1258.0564687161868,102992.29558233598,86592.92599474125,94792.61078853862,0.17300261540615336,1697.7167787051262,0.00964277359532062,-0.13899748423084968,0.009596578780697617,0.023235234657685715,-0.12198494046098514,84904994728.0332,3.4053371877631777,54.051952017775314,386183.0,857436275.8049003,110568428300952.53,47481654.8,179831994.0,84441.9012237131,0.003164821621655989,1,90001.40087607042,-0.05880193025970859,0
2025-03-01,84441.9012237131,84441.9012237131,84441.9012237131,84441.9012237131,80695237175.07367,89442.18777237463,95835.43968439814,88304.87257880566,92968.93158667952,26.576120762799803,-3288.1823917958827,-1979.9499442943047,-1308.232447501578,103491.13299463122,84882.45494231622,94186.79396847372,0.19757205090284424,1595.540119852371,-0.0031548371249103813,-0.12163348713692401,-0.003159824115076059,0.02268133364145874,-0.11888648393752706,90364675331.4835,-0.7355905492820761,46.97992089673637,290895.0,791479639.2045234,110568428300952.58,46280766.75,179448344.6,86005.25629681018,-0.018177436361585197,0,86773.33597555371,-0.02686810096245973,0
2025-03-02,86005.25629681018,86005.25629681018,86005.25629681018,86005.25629681018,30634474722.6359,87933.77379436146,95209.5644439581,87729.96850830679,92305.72441621577,31.722305739821365,-3421.5519169178588,-2268.2703388190157,-1153.281578098843,103545.52763795032,83773.72806329856,93659.62785062444,0.21110269203914986,1593.2411879412793,0.01851397292625223,-0.1093459362825917,0.018344675713103394,0.023795695224876005,-0.09667419655685659,92103255210.3226,-0.6203682423514987,47.87657172862323,264912.0,692544684.3039575,110568428300952.67,45841993.375,178746949.66666666,94261.53286538439,-0.08758903359194314,0,86142.9833586432,-0.0015988192707422355,0
2025-03-03,94261.53286538439,94261.53286538439,94261.53286538439,94261.53286538439,61859112550.80991,87638.64090494804,94938.86906956353,89362.8595975762,92491.99188756516,51.18210654515868,-2828.4313124186883,-2380.3025335389502,-448.1287788797381,103244.7239244837,83760.68690192042,93502.70541320206,0.20837939326418936,2069.172286557917,0.09599734858159392,-0.02144694939112346,0.09166476934551977,0.03579555774037917,-0.007134445678754014,98562693521.15498,1.0192646719384433,52.55973902864332,374224.0,824457957.5047117,110568428300952.56,46630280.625,178484008.25,86124.71418722175,0.09447716320398425,1,80751.13893300897,0.16730902016854055,1
2025-03-04,86124.71418722175,86124.71418722175,86124.71418722175,86124.71418722175,68715362745.4567,86885.49052179362,94453.86662162261,88553.32324498758,91885.58448753245,39.29550914891927,-2980.593795329274,-2500.3607858970154,-480.23300943225877,103213.52042214575,82830.36408590132,93021.94225402354,0.21912202478617654,2502.575600243969,-0.08632173094175011,-0.05768314200457392,-0.09027677271420725,0.04297958144762272,-0.08818222834399174,101873501935.59338,0.11083654310454572,50.31539813368426,304773.0,802472411.9712528,110568428300952.58,52331478.0,178124672.0,87310.80531078295,-0.013584700305297903,0,78783.94057934263,0.09317601472962989,1
